,px_open,px_high,px_low,px_close,px_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,mara_open,mara_high,mara_low,mara_close,mara_volume,riot_open,riot_high,riot_low,riot_close,riot_volume,coin_open,coin_high,coin_low,coin_close,coin_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,qqq_open,qqq_high,qqq_low,qqq_close,qqq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2022-11-17,6.045000076293945,6.164999961853027,6.031000137329102,6.130000114440918,2600.0,16670.42578125,16726.439453125,16460.68359375,16687.517578125,27868914022.0,8.270000457763672,8.300000190734863,7.909999847412109,8.029999732971191,16515600.0,4.690000057220459,4.75,4.519999980926514,4.630000114440918,9252100.0,46.66999816894531,49.970001220703125,45.18000030517578,48.790000915527344,17974700.0,1215.8486328125,1224.9656982421875,1189.1527099609375,1200.80859375,9723646871.0,280.8800048828125,286.32000732421875,280.7200012207031,284.80999755859375,55462100.0,24.049999237060547,25.18000030517578,23.809999465942383,23.93000030517578,0.0
2022-11-18,6.050000190734863,6.050000190734863,5.869999885559082,5.869999885559082,5800.0,16687.912109375,16947.05859375,16564.611328125,16697.77734375,26862218609.0,8.380000114440918,8.399999618530273,7.449999809265137,7.46999979019165,23126700.0,4.71999979019165,4.71999979019165,4.409999847412109,4.460000038146973,9665900.0,48.79999923706055,49.0,44.310001373291016,45.2599983215332,20287300.0,1200.8021240234375,1226.7374267578125,1200.8021240234375,1212.30029296875,7979913378.0,287.8900146484375,287.989990234375,282.32000732421875,284.82000732421875,53588600.0,24.030000686645508,24.1200008392334,22.979999542236328,23.1200008392334,0.0
2022-11-21,5.699999809265137,5.769999980926514,5.329999923706055,5.329999923706055,6600.0,16291.2236328125,16291.2236328125,15599.046875,15787.2841796875,37429485518.0,7.099999904632568,7.289999961853027,6.159999847412109,6.190000057220459,25771800.0,4.340000152587891,4.429999828338623,3.9700000286102295,3.9800000190734863,18020100.0,43.599998474121094,44.63999938964844,40.61000061035156,41.22999954223633,22382000.0,1142.395751953125,1142.395751953125,1084.8572998046875,1108.35302734375,14080099208.0,283.3999938964844,284.5799865722656,281.0400085449219,281.8900146484375,40083500.0,24.049999237060547,24.1200008392334,22.299999237060547,22.360000610351562,0.0
2022-11-22,5.429999828338623,5.502999782562256,5.429999828338623,5.502999782562256,800.0,15782.30078125,16253.0478515625,15656.6064453125,16189.76953125,30726828760.0,6.46999979019165,6.550000190734863,6.110000133514404,6.420000076293945,23179200.0,4.15500020980835,4.159999847412109,3.9100000858306885,3.990000009536743,13866500.0,42.349998474121094,44.400001525878906,41.61000061035156,43.38999938964844,20783100.0,1107.89599609375,1136.442626953125,1081.13818359375,1135.1734619140625,12040670755.0,282.6400146484375,286.1099853515625,280.4599914550781,285.95001220703125,41873400.0,22.59000015258789,22.709999084472656,21.280000686645508,21.290000915527344,0.0
2022-11-23,5.579999923706055,5.769999980926514,5.579999923706055,5.75,4000.0,16195.5888671875,16638.193359375,16170.5029296875,16610.70703125,32958875628.0,6.460000038146973,6.75,6.309999942779541,6.480000019073486,18227800.0,4.054999828338623,4.434999942779541,4.010000228881836,4.420000076293945,17725300.0,43.849998474121094,46.16999816894531,42.209999084472656,45.56999969482422,14665800.0,1135.4215087890625,1184.997314453125,1130.0228271484375,1183.1995849609375,11242676044.0,285.9700012207031,289.4599914550781,285.7900085449219,288.82000732421875,46390000.0,21.489999771118164,21.780000686645508,20.31999969482422,20.350000381469727,0.0
2022-11-25,5.679999828338623,5.679999828338623,5.679999828338623,5.679999828338623,200.0,16602.26953125,16603.31640625,16388.404296875,16521.841796875,18678255976.0,6.349999904632568,6.409999847412109,6.130000114440918,6.21999979019165,7127000.0,4.380000114440918,4.46999979019165,4.25,4.429999828338623,7243800.0,44.7599983215332,45.2400016784668,43.70000076293945,44.279998779296875,6451500.0,1203.7994384765625,1203.7994384765625,1174.8233642578125,1198.9259033203125,5483308196.0,287.19000244140625,287.9100036621094,286.4200134277344,286.9200134277344,15498800.0,20.610000610351562,21.110000610351562,20.459999084472656,20.5,0.0
2022-11-28,5.710000038146973,5.710000038146973,5.460000038146973,5.460000038146973,1800.0,16440.22265625,16482.93359375,16054.5302734375,16217.322265625,27743025156.0,6.019999980926514,6.179999828338623,5.829999923706055,5.980000019073486,14251400.0,4.242000102996826,4.460000038146973,4.190000057220459,4.25,10621000.0,43.29999923706055,44.900001525878906,42.02000045776367,42.5099983215332,10497900.0,1194.9603271484375,1198.7376708984375,1156.0625,1170.086181640625,7275411870.0,284.8999938964844,286.9599914550781,281.760009765625,282.7099914550781,38714200.0,22.09000015258789,22.5,21.649999618530273,22.209999084472656,0.0
2022-11-29,5.400000095367432,5.400000095367432,5.400000095367432,5.400000095367432,100.0,16217.6396484375,16522.2578125,16139.396484375,16444.982421875,23581685468.0,5.900000095367432,6.110000133514404,5.75,5.889999866485596,12013000.0,4.269999980926514,4.380000114440918,4.199999809265137,4.239999771118164,5427700.0,42.90999984741211,44.650001525878906,42.70000076293945,43.11000061035156,9090600.0,1169.8743896484375,1222.1641845703125,1163.4775390625,1216.9012451171875,7639405818.0,282.94000244140625,283.3500061035156,279.1700134277344,280.57000732421875,35618900.0,22.09000015258789,22.56999969482422,21.829999923706055,21.889999389648438,0.0
2022-11-30,5.449999809265137,5.681000232696533,5.449999809265137,5.670000076293945,1300.0,16445.4765625,17190.9375,16445.4765625,17168.56640625,29523576583.0,6.050000190734863,6.349999904632568,5.78000020980835,6.320000171661377,23052500.0,4.369999885559082,4.670000076293945,4.190000057220459,4.650000095367432,10902500.0,43.709999084472656,45.880001068115234,41.5099983215332,45.72999954223633,15562700.0,1216.9287109375,1302.0386962890625,1215.4979248046875,1295.6885986328125,9836925304.0,280.8399963378906,293.4700012207031,279.9700012207031,293.3599853515625,74718100.0,21.700000762939453,22.6299991607666,20.309999465942383,20.579999923706055,0.0
2022-12-01,5.619999885559082,5.849999904632568,5.619999885559082,5.690000057220459,2500.0,17168.001953125,17197.498046875,16888.388671875,16967.1328125,22895392882.0,6.349999904632568,6.639999866485596,6.119999885559082,6.210000038146973,16155000.0,4.679999828338623,4.760000228881836,4.460000038146973,4.579999923706055,7730600.0,45.81999969482422,47.189998626708984,44.439998626708984,45.27000045776367,11579400.0,1295.76953125,1295.9998779296875,1267.70849609375,1276.27392578125,6857935276.0,293.69000244140625,295.75,290.8800048828125,293.7200012207031,51547300.0,20.829999923706055,21.059999465942383,19.799999237060547,19.84000015258789,0.0
2022-12-02,5.619999885559082,5.789999961853027,5.619999885559082,5.789999961853027,800.0,16968.68359375,17088.66015625,16877.880859375,17088.66015625,19539705127.0,6.230000019073486,6.940000057220459,6.059999942779541,6.909999847412109,21987600.0,4.510000228881836,4.974999904632568,4.449999809265137,4.960000038146973,8315300.0,43.970001220703125,47.70000076293945,43.72999954223633,47.66999816894531,10372100.0,1276.32861328125,1294.3033447265625,1269.2431640625,1294.3033447265625,6213645709.0,288.5400085449219,293.45001220703125,288.3599853515625,292.54998779296875,53583200.0,20.420000076293945,20.959999084472656,18.950000762939453,19.059999465942383,0.0
2022-12-05,6.429999828338623,6.429999828338623,5.5,5.5,6200.0,17128.89453125,17378.15234375,16922.431640625,16974.826171875,22209086834.0,6.989999771118164,7.150000095367432,6.010000228881836,6.139999866485596,24158600.0,5.010000228881836,5.130000114440918,4.579999923706055,4.659999847412109,12616500.0,47.97999954223633,49.849998474121094,45.630001068115234,46.0,11228300.0,1279.9989013671875,1302.237548828125,1252.472412109375,1259.6767578125,6120359523.0,290.3800048828125,291.67999267578125,286.1499938964844,287.6400146484375,41482100.0,20.299999237060547,21.290000915527344,19.780000686645508,20.75,0.0
2022-12-06,5.460000038146973,5.460000038146973,5.269999980926514,5.28000020980835,1100.0,16975.23828125,17091.86328125,16939.921875,17089.50390625,19889922369.0,6.119999885559082,6.159999847412109,5.570000171661377,5.789999961853027,15676100.0,4.670000076293945,4.690000057220459,4.269999980926514,4.380000114440918,8357900.0,45.599998474121094,46.650001525878906,41.72999954223633,42.40999984741211,12156100.0,1259.854248046875,1271.9232177734375,1247.6298828125,1271.65380859375,5089212680.0,287.4800109863281,287.6199951171875,280.260009765625,281.67999267578125,53937600.0,20.690000534057617,22.600000381469727,20.3799991607666,22.170000076293945,0.0
2022-12-07,5.150000095367432,5.150000095367432,5.114999771118164,5.119999885559082,2300.0,17089.505859375,17109.376953125,16750.55859375,16848.126953125,19675404389.0,5.690000057220459,5.710000038146973,5.210000038146973,5.369999885559082,16775100.0,4.34499979019165,4.389999866485596,4.119999885559082,4.21999979019165,7975600.0,41.880001068115234,43.20000076293945,40.54999923706055,41.2599983215332,10824500.0,1271.5531005859375,1272.694091796875,1224.447998046875,1232.4375,5752205180.0,280.4700012207031,282.57000732421875,278.7799987792969,280.5299987792969,45614300.0,22.31999969482422,23.010000228881836,22.18000030517578,22.68000030517578,0.0
2022-12-08,5.2789998054504395,5.2789998054504395,5.210000038146973,5.275000095367432,2300.0,16847.349609375,17267.916015625,16788.783203125,17233.474609375,20496603770.0,5.409999847412109,5.519999980926514,5.21999979019165,5.389999866485596,16147900.0,4.28000020980835,4.454999923706055,4.150000095367432,4.369999885559082,8121300.0,41.560001373291016,43.900001525878906,40.29999923706055,42.810001373291016,9361800.0,1232.4517822265625,1286.229736328125,1226.3585205078125,1281.1163330078125,6227269815.0,281.9100036621094,284.8399963378906,279.7900085449219,283.8500061035156,42594900.0,22.809999465942383,23.280000686645508,22.059999465942383,22.290000915527344,0.0
2022-12-09,5.239999771118164,5.340000152587891,5.232999801635742,5.260000228881836,600.0,17232.1484375,17280.546875,17100.8359375,17133.15234375,20328426366.0,5.369999885559082,5.400000095367432,4.989999771118164,5.0,21330300.0,4.329999923706055,4.380000114440918,4.130000114440918,4.190000057220459,6525100.0,41.599998474121094,42.31999969482422,40.150001525878906,40.2400016784668,10030200.0,1281.0772705078125,1290.055419921875,1260.8187255859375,1264.2847900390625,5706183865.0,282.80999755859375,285.6400146484375,281.5899963378906,282.0400085449219,47860500.0,22.549999237060547,23.209999084472656,22.18000030517578,22.829999923706055,0.0
